Curve Sensitivity,Curve Group,Curve Instance
simple_curve_setup_YE18,interest_rate,flat_rfr_1pc_pa_effective_YE18
simple_curve_setup_YE18,inflation_rate,flat_inf_1.5pc_pa_effective_YE18
step_interest_curve_test,interest_rate,1pc_400points_1.5pc_320points
step_interest_curve_test,inflation_rate,flat_inf_1.5pc_pa_effective_YE18
simple_curve_setup2_YE18,interest_rate,flat_rfr_1.5pc_pa_effective_YE18
simple_curve_setup2_YE18,inflation_rate,flat_inf_1.5pc_pa_effective_YE18
